tissue	E2F7	ELF4	ELK4	EMX2	ESR1	GATA2	GATA6	GLIS3	HIC2	HNF4G	HOXA13	HOXC10	HOXC6	IKZF1	IRF1	MAFF	MEOX2	MNX1	MYT1L	NR2F2	PTTG1	RUNX1	SALL1	SHOX2	SNAI2	SOX10	STAT1	TCF21	TP63	TWIST1
Thymus	-0.033188635	0.180734357	0.368528434	0.145846798	0.185995978	0.151106158	0.235216502	0.056388357	0.024586707	-0.013777478	0.117598696	0.088494162	0.290259824	-0.110420628	-0.058620075	0.243700024	-0.101422955	-0.051382002	-0.190961386	0.248548989	-0.007452576	0.074885987	-0.036156916	-0.063024662	0.276921879	-0.116359141	-0.08853942	0.104565073	0.77246348	0.135764979
Thymus	0.25507224	0.148072638	0.317312869	0.032047914	0.082667741	0.226851648	0.069586317	0.491456023	0.601064369	0.021454005	0.129638833	0.071887377	0.167387473	-0.049685652	0.0313322	0.186309862	0.101086068	0.0144047	-0.130921038	0.209862515	0.521345218	0.168105	0.060713509	0.306644243	0.29302467	-0.223517653	0.218479069	0.110108447	-0.161136542	0.296352323
Thymus	-0.150333308	0.207836479	0.287110122	0.030625388	0.051891738	0.25212903	0.187978568	0.26888146	-0.063372472	-0.092605081	-0.030047616	0.088832278	0.279182665	-0.025240773	0.091204102	0.704891556	0.612338733	-0.148131578	-0.338379098	0.357708855	-0.145102944	0.313292298	-0.129323446	0.340811537	0.166824549	-0.125886054	-0.056807951	0.221132997	-0.142305376	0.320510285
Lymphoidtissue	0.843344379	0.612160911	0.438515795	-0.140543789	-0.103226502	-0.063806641	-0.048978524	-0.169849033	-0.016246977	0.034410443	-0.086265779	-0.127028342	-0.120249063	0.659901912	0.549368968	-0.060880305	-0.016727715	0.300752403	-0.177960275	-0.081589252	0.538511542	0.053520954	-0.15816868	-0.045161473	-0.145720634	-0.033955841	0.852818378	0.118511052	-0.080443631	-0.131459571
Lymphoidtissue	0.929672526	0.466687176	0.459118377	-0.089312091	-0.068999048	-0.098041309	-0.075887617	-0.161788884	0.047585766	0.026533288	-0.065027697	-0.066782214	-0.093112412	0.470116588	0.328693066	-0.136710211	-0.094563525	0.357740742	-0.091797921	-0.097436655	0.605991876	-0.021619825	-0.125106553	-0.042606424	-0.104554024	-0.087912046	0.91467065	-0.000866446	-0.035407929	-0.096740059
Lymphoidtissue	0.590051773	0.672602433	0.579786069	-0.075615729	-0.018077971	0.098319382	0.03024311	-0.016014562	-0.032200958	0.157307295	-0.042798875	-0.095709553	-0.009375466	0.746447754	0.661823636	0.086659206	0.154265678	0.216629869	-0.319108069	0.113597975	0.360409209	0.209385975	-0.135275496	0.054464744	-0.049445863	-0.020920038	0.640838088	0.343166056	-0.055308901	-0.072888709
Lymphoidtissue	0.110963708	0.422321124	0.234528832	-0.096311121	-0.062625984	-0.005134837	0.051708607	-0.110583187	0.05308047	0.081671295	-0.064493738	-0.069425726	-0.089418516	0.783827755	0.605236592	-0.128101544	-0.086809064	0.035133504	-0.112185249	0.077513855	0.088260198	0.090297864	-0.143731601	-0.079576886	-0.028971441	-0.098631147	0.15251893	0.308666802	-0.057849729	-0.101570371
Lymphoidtissue	0.239706958	0.60643076	0.2939276	-0.108941154	-0.048775832	0.020181456	0.027017998	-0.136684596	0.055543126	0.212877437	-0.057063139	-0.126417749	-0.121791689	0.90990194	0.786154254	-0.117753867	-0.097713452	0.119323281	-0.177775991	0.027910031	0.186179069	0.132570178	-0.143239644	-0.113629437	-0.059633751	-0.116870516	0.269819227	0.338425127	-0.068039573	-0.144331973
Lymphoidtissue	0.935271463	0.443169162	0.501581931	-0.085648451	-0.075998388	-0.100860092	-0.105200095	-0.17274537	0.009919685	0.014691359	-0.062423531	-0.012651301	-0.053951254	0.331585682	0.231623956	-0.069682386	-0.075969391	0.374751742	-0.116857577	-0.141307466	0.610817049	-0.006159331	-0.134665656	-0.028497204	-0.060369132	-0.084676293	0.906772908	-0.076664503	0.158031327	-0.040436775
Lymphoidtissue	-0.034309103	0.125884052	0.004139807	0.152867012	0.099830636	0.128842396	-0.232356379	0.119601866	-0.027698098	-0.150898523	0.017479188	-0.194541205	-0.207236658	0.412526513	0.321064456	0.03811124	0.031692	-0.255025428	0.09734284	-0.020323651	-0.074253863	-0.029259669	0.343747601	-0.165107825	-0.18855742	0.131816882	0.004431321	0.164913119	-0.157041159	-0.21273223
Retina	-0.031361132	0.038558989	0.301620448	-0.028884782	0.387469204	0.360626099	-0.059890429	0.010346709	0.033896436	-0.042015515	0.534577428	-0.138209361	-0.190645043	-0.091930242	-0.016103427	0.103717755	-0.101035486	-0.00901816	-0.108522288	0.115827444	-0.005028885	0.130336094	0.045846554	-0.10248104	0.23479737	-0.08398479	-0.069113539	0.057792445	0.195184536	-0.078105762
Retina	-0.066647627	-0.254799075	-0.249622913	-0.0536292	-0.085204352	-0.07882336	-0.175840142	-0.101228585	-0.088451325	-0.050325236	-0.057094892	-0.113170472	-0.138628202	-0.081356722	-0.167840321	-0.197581813	-0.146029749	-0.090014115	0.133550558	-0.180968995	-0.062813909	-0.18013564	0.171912307	-0.134272917	-0.171549901	0.220620599	-0.079051017	-0.145411092	-0.090028019	-0.139545984
Retina	-0.079473703	-0.503207886	-0.534651644	-0.049618903	-0.203966982	-0.331781316	-0.348424373	-0.224902993	0.215190091	-0.106024369	-0.197949486	-0.125090779	-0.21538429	-0.209334399	-0.350918485	-0.480214368	-0.276227553	-0.140299868	0.792456633	-0.397519948	-0.017345693	-0.351685266	0.094265351	-0.170939671	-0.264330171	0.149314526	-0.1193706	-0.299754076	-0.18473196	-0.14421648
Retina	0.16751003	-0.034806761	0.041977502	-0.058293933	0.034052097	-0.008254681	-0.027907521	0.005850859	0.739738907	0.075128694	0.066341935	-0.086965388	-0.03482257	-0.059980899	0.006550531	-0.066032622	-0.00974743	0.069247219	-0.096644256	0.018436485	0.628797809	-0.081621897	-0.099291414	0.12080813	-0.053888518	-0.035352902	-0.06667537	0.039693262	-0.048474719	-0.032059939
Retina	-0.124565424	-0.339171732	-0.203949335	0.054812025	0.020638277	-0.119492154	-0.115388061	-0.128650041	0.222000443	-0.100483126	-0.027483899	-0.181494992	-0.135644372	-0.202734404	-0.267663634	-0.274445293	-0.154959005	-0.133175643	0.781353541	-0.074040635	-0.136236841	-0.298932748	-0.001494603	-0.151632709	-0.151951051	0.003199943	-0.152131754	-0.123507416	-0.152182509	-0.168023683
Retina	-0.049114873	-0.245660686	-0.18833229	-0.077957482	-0.038346581	-0.128985054	-0.18586279	0.084840214	0.064541601	-0.141050398	-0.108579437	-0.113205904	-0.202777643	-0.12097439	-0.157421765	-0.178875764	-0.122735549	-0.057076898	0.426160356	-0.173778345	-0.073975084	-0.108924455	0.202548173	-0.126967192	-0.199489185	-0.032740173	-0.049161912	-0.172177382	-0.168936681	-0.053319891
Retina	-0.240710931	-0.103244837	-0.135143751	-0.048866994	-0.071610056	-0.042406103	-0.040976671	0.037028321	0.078996995	-0.168219621	-0.094771081	0.08809527	0.21200975	-0.087192942	-0.103873589	0.250130866	0.556808977	-0.242163575	0.092644381	0.27244647	-0.186622906	0.135631793	-0.109991457	0.283620856	-0.072640692	0.513613471	-0.233714966	-0.005764849	-0.056581285	-0.018086665
Spleen	-0.033457269	0.594422547	-0.017145492	-0.101282874	-0.064695801	-0.022129242	-0.017743047	-0.156354313	-0.049270775	-0.019239531	-0.073043722	-0.089079146	-0.11074594	0.909515448	0.885741109	-0.109811873	-0.080842379	-0.060867133	-0.133571758	-0.024483888	0.003134814	0.117536856	-0.145315226	-0.099178834	-0.079714686	-0.119992827	0.013018471	0.210738261	-0.07882228	-0.113695018
Spleen	-0.092999048	0.393103588	0.327785305	-0.099427956	-0.040865775	0.283187159	0.262509169	0.127668116	-0.001370467	0.059678684	-0.034799207	-0.090352521	0.037657563	0.425743053	0.460725686	0.422648963	0.328011889	-0.072606144	-0.311728657	0.24658504	-0.071864358	0.309233852	-0.225747998	0.046400202	0.060429528	-0.138998359	-0.008347454	0.641137475	-0.116721596	0.0185677
Spleen	0.066536466	0.634622016	0.053088067	-0.115725153	-0.085519408	-0.041046437	-0.016900714	-0.165831179	-0.060132959	-0.004446735	-0.084260609	-0.086558206	-0.098032088	0.951611755	0.8970692	-0.10695626	-0.052015554	-0.018410553	-0.148918727	-0.010045987	0.049848873	0.114140817	-0.173328927	-0.082640336	-0.087154666	-0.09558781	0.120375434	0.20167264	-0.085870747	-0.116669636
Spleen	0.066536466	0.634622016	0.053088067	-0.115725153	-0.085519408	-0.041046437	-0.016900714	-0.165831179	-0.060132959	-0.004446735	-0.084260609	-0.086558206	-0.098032088	0.951611755	0.8970692	-0.10695626	-0.052015554	-0.018410553	-0.148918727	-0.010045987	0.049848873	0.114140817	-0.173328927	-0.082640336	-0.087154666	-0.09558781	0.120375434	0.20167264	-0.085870747	-0.116669636
Spleen	0.946424332	0.444653817	0.443885148	-0.080522899	-0.063844053	-0.099985036	-0.085635304	-0.155943412	0.031986398	0.003731955	-0.058431787	-0.059863399	-0.084859925	0.403519979	0.28196733	-0.119351547	-0.082377105	0.359861918	-0.085734297	-0.109096401	0.610516969	-0.028813862	-0.116322844	-0.032827374	-0.103777179	-0.080682314	0.929160758	-0.040507334	-0.028667707	-0.086052695
Spleen	-0.052923956	0.504778966	-0.072791858	-0.127021504	-0.113825186	-0.06043643	-0.077618765	-0.183009262	-0.018915587	-0.070818867	-0.121834425	-0.116411946	-0.174481562	0.886822912	0.838123705	-0.179130183	-0.123670302	-0.091635211	-0.013239762	-0.090380803	-0.015284739	0.136890821	-0.148453596	-0.141343934	-0.145378935	-0.090541856	-0.010915209	0.228354156	-0.107758394	-0.151438659
